File Name,Sample Name
20221111-JC-471_HILIC_QC001,qc001-qc-NA-exoA-NA-1-1
20221111-JC-471_HILIC_001,229-CerealRye-1-exoA-15-2-1
20221111-JC-471_HILIC_002,60-Rapeseed-4-exoA-2-3-1
20221111-JC-471_HILIC_003,89-Sorghum-1-exoA-3-4-1
20221111-JC-471_HILIC_004,196-ControlSoil-4-exoA-10-5-1
20221111-JC-471_HILIC_005,207-CerealRye-3-exoA-10-6-1
20221111-JC-471_HILIC_006,180-Rapeseed-4-exoA-7-7-1
20221111-JC-471_HILIC_007,194-ControlSoil-2-exoA-10-8-1
20221111-JC-471_HILIC_QC002,qc002-qc-NA-exoA-NA-9-1
20221111-JC-471_HILIC_008,136-CerealRye-4-exoA-5-10-1
20221111-JC-471_HILIC_009,63-CerealRye-3-exoA-2-11-1
20221111-JC-471_HILIC_010,44-Sorghum-4-exoA-1-12-1
20221111-JC-471_HILIC_011,5-prep.blank-1-exoA-0-13-1
20221111-JC-471_HILIC_012,77-prep.blank-1-exoA-3-14-1
20221111-JC-471_HILIC_013,245-prep.blank-1-exoA-21-15-1
20221111-JC-471_HILIC_014,31-prep.blank-3-exoA-1-16-1
20221111-JC-471_HILIC_QC003,qc003-qc-NA-exoA-NA-17-1
20221111-JC-471_HILIC_015,98-ControlSoil-2-exoA-4-18-1
20221111-JC-471_HILIC_016,236-Sorghum-4-exoA-15-19-1
20221111-JC-471_HILIC_017,215-HairyVetch-3-exoA-10-20-1
20221111-JC-471_HILIC_018,111-CerealRye-3-exoA-4-21-1
20221111-JC-471_HILIC_019,217-ControlSoil-1-exoA-15-22-1
20221111-JC-471_HILIC_020,199-prep.blank-3-exoA-10-23-1
20221111-JC-471_HILIC_021,205-CerealRye-1-exoA-10-24-1
20221111-JC-471_HILIC_QC004,qc004-qc-NA-exoA-NA-25-1
20221111-JC-471_HILIC_022,206-CerealRye-2-exoA-10-26-1
20221111-JC-471_HILIC_023,218-ControlSoil-2-exoA-15-27-1
